genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Rock,The Beatles,I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,76,0.386,0.49,145747,0.715,0,G,0.311,-5.549,Major,0.0476,130.726,4/4,0.866
Blues,iKON,LOVE SCENARIO,6qAzAmPBUpGrk7XADZHR5k,77,0.331,0.806,209648,0.707,0,G,0.294,-4.623,Major,0.0307,118.011,4/4,0.746
Rock,Jet,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,77,0.00148,0.613,213800,0.953,0.000582,D,0.152,-3.435,Major,0.0855,105.046,4/4,0.537
Industrial,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2v5JTeM6hSmi5wWy7jiwrI,84,0.15,0.741,233613,0.845,0,F,0.174,-3.568,Minor,0.0381,129.939,4/4,0.926
Industrial,The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,81,0.0762,0.735,211440,0.677,2.17e-05,D,0.111,-4.979,Major,0.093,100.584,4/4,0.188
Prance,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,97,0.0691,0.719,187436,0.704,0,C#,0.166,-4.724,Major,0.0476,133.002,4/4,0.628
Electronic,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,76,0.0426,0.794,248413,0.811,1.07e-06,F#,0.101,-8.966,Minor,0.038,116.047,4/4,0.862
Prance,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,85,0.047,0.643,163870,0.783,0,A#,0.083,-6.458,Major,0.0856,154.084,4/4,0.579
Industrial,Kehlani,Feels,4BOikd4oZjOYMde9AXfrTo,76,0.259,0.369,181140,0.609,4.1e-05,A,0.133,-4.477,Minor,0.184,80.362,1/4,0.381
Industrial,Drake,Portland,2bjwRfXMk4uRgOD9IBYl9h,76,0.0143,0.924,236615,0.444,0,C#,0.26,-8.227,Major,0.243,136.088,4/4,0.314
Blues,Luis Fonsi,Calypso,4178A5NkEjcsGc64jpBO6d,78,0.138,0.866,200347,0.859,0,C#,0.401,-3.087,Minor,0.0587,109.972,4/4,0.923
Blues,Rae Sremmurd,Black Beatles,6fujklziTHa8uoM5OQSfIo,78,0.142,0.794,291893,0.632,0,C,0.128,-6.163,Major,0.0649,145.926,4/4,0.355
Blues,Kehlani,Feels,4BOikd4oZjOYMde9AXfrTo,76,0.259,0.369,181140,0.609,4.1e-05,A,0.133,-4.477,Minor,0.184,80.362,1/4,0.381
Industrial,Post Malone,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,80,0.186,0.601,206453,0.59,0,D,0.0942,-5.001,Major,0.0569,151.952,4/4,0.274
Blues,Kygo,Stargazing,0Zbbxnx4SGGHoIow4PpISP,79,0.152,0.677,236853,0.497,0,F,0.0911,-5.763,Major,0.0809,99.137,4/4,0.419
Hip-Hop,21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,80,0.171,0.713,211785,0.62,1.16e-06,C,0.118,-4.513,Major,0.0422,130.09,4/4,0.206
Hip-Hop,"Tyler, The Creator",Analog (Featuring Hodgy Beats),7Fe9DrgoqEiSv6et53YzwA,45,0.00435,0.36,174400,0.702,0.000883,C,0.772,-9.474,Minor,0.292,87.287,5/4,0.428
Hip-Hop,Nelly,Dilemma,0ARK753YaiJbpLUk7z5yIM,78,0.211,0.725,289173,0.534,2.91e-05,D,0.221,-8.364,Minor,0.167,168.119,4/4,0.621
Blues,Miguel,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,78,0.173,0.674,259333,0.506,0,F#,0.0866,-10.532,Major,0.0434,145.965,4/4,0.183
